ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,description,genres_raw,match_method
671721755,IF I PAY THEE NOT IN GOLD,Launius Anthony,1993,Baen,"In the age of the Mazonians women rule through magic - and men suffer what they must. Magical creations only last for a single day (magical food is great for dieting), but that is quite long enough for casting a giant wet blanket (if you're feeling kind) over a would-be rampaging male - or a block of granite (if you're not). No uppity males in Mazonia!But then as now some people rise above what they've been taught. One such is Xylina; somehow she has always understood that being of the wrong gender, or even lacking magical power, is no reason for stripping a human being of dignity. How ironic, then, that the Queen has ordained that in order to avoid execution Xylina must use her magic to publicly conquer the most glorious male Mazonia has ever seen - and how doubly so that together he and Xylina will transform their world.","['Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Science Fiction', 'Magic', 'Romance', 'High Fantasy', 'Adventure', 'Adult', 'Epic Fantasy']",isbn
345335651,"Queen of Sorcery (The Belgariad, Book 2)",David Eddings,1989,Del Rey Books,"The Trail of Prophecy...Legends told of how the evil God Torak had coveted the power of the Orb of Aldur, until defeated in a final battle. But prophecy spoke of a time when he would awake and again seek dominance over the world. Now the Orb has been stolen by a priest of Torak, and that time was at hand. The master Sorcerer Belgarath and his daughter Polgara the arch-Sorceress were on the trail of the Orb, seeking to regain it before the final disaster. And with them went Garion, a simple farm boy only months before, but now the focus of the struggle. He has never believed in sorcery and wanted no part of it. Yet with every league they traveled, the power grew in him, forcing him to acts of wizardry he could not accept. This continues the magnificent epic of The Belgariad, began in Pawn of Prophecy, set among strange lands against a background of a war of men, Kings, and Gods that had spanned seven thousand years - a novel of strange fate and a prophecy that must come true!","['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Adventure', 'Magic', 'Young Adult', 'Audiobook', 'Epic']",isbn
441004385,Winter Rose,Patricia A. McKillip,1997,Ace Books,"Sorrow and trouble and bitterness will bound you and yours and the children of yours...Some said the dying words of Nial Lynn, murdered by his own son, were a wicked curse. To others, it was a winter's tale spun by firelight on cold, dark nights. But when Corbet Lynn came to rebuild his family estate, memories of his grandfather's curse were rekindled by young and old - and rumours filled the heavy air of summer.In the woods that border Lynn Hall, free-spirited Rois Melior roams wild and barefooted in search of healing herbs. She is as hopelessly unbridled - and unsuited for marriage - as her betrothed sister Laurel is domestic. In Corbet's pale green eyes, Rois senses a desperate longing. In her restless dreams, mixed with the heady warmth of harvest wine, she hears him beckon. And as autumn gold fades, Rois is consumed with Corbet Lynn, obsessed with his secret past - until, across the frozed countryside and in flight from her own imagination, truth and dreams become inseparable...","['Fantasy', 'Fiction', 'Fairy Tales', 'Young Adult', 'Romance', 'Retellings', 'Science Fiction Fantasy', 'High Fantasy', 'Magic', 'Fairy Tale Retellings']",isbn
375726632,Oldest Living Confederate Widow Tells All (Vintage Contemporaries (Paperback)),Allan Gurganus,2001,Vintage Books USA,"Allan Gurganus's Oldest Living Confederate Widow Tells All became an instant classic upon its publication. Critics and readers alike fell in love with the voice of ninety-nine-year-old Lucy Marsden, one of the most entertaining and loquacious heoines in American literature.Lucy married at the turn of the last century, when she was fifteen and her husband was fifty. If Colonel William Marsden was a veteran of the ""War for Southern Independence"", Lucy became a ""veteran of the veteran"" with a unique perspective on Southern history and Southern manhood. Her story encompasses everything from the tragic death of a Confederate boy soldier to the feisty narrator's daily battles in the Home--complete with visits from a mohawk-coiffed candy-striper. Oldest Living Confederate Widow Tells All is proof that brilliant, emotional storytelling remains at the heart of great fiction.","['Fiction', 'Historical Fiction', 'Civil War', 'Historical', 'War', 'American Civil War', 'Southern', 'Novels', 'American', 'American History']",isbn
038071082X,The Grass Crown,Colleen McCullough,1992,Avon,"In this great drama, Marius, the general who saved Rome from barbarian invasion and became consul an unprecedented six times, has fallen into decline. Sulla, his closest associate, has withdrawn himself from his commander's circle in preparation for his own bid for power. As a deadly enmity develops between the two men, Rome must fight its own battle for survival - first against her neighbouring Italian states, then against the barbaric Asian conqueror. Births, deaths, prophecies and rivalries combine to create a whirlwind of drama, and a remarkable insight into the passion and torment of ancient Rome.","['Historical Fiction', 'Fiction', 'Historical', 'Roman', 'Italy', 'Ancient', 'Ancient History', 'Novels', 'War', 'Literature']",isbn
515127485,Archangel,Robert Harris,2000,Jove Books,"Fluke Kelso was once a scholar of promise, but like so many in the highly competitive world of academia, he's never delivered. But one night, at a symposium in Moscow concerning the release of secret Soviet archives, he is approached by Papu Rapava, a former Kremlin bodyguard with a story to tell. No one but the desperate Kelso would believe the tale, for what Rapava describes is a sort of Holy Grail among researchers: an actual diary left by Joseph Stalin himself. Such an artifact, if it's genuine -- and if Kelso can survive the fascist Vladimir Mamantov, who wants it for his own agenda -- would be the coup of a lifetime for the discredited researcher.Before Kelso can learn the location of the diary, Rapava disappears, and Kelso's search for the former bodyguard leads him to the man's daughter, a whore selling herself in the new Moscow of drugs, corruption, and the Russian mafia. With an unscrupulous American journalist hot on their heels, a major of the new KGB close behind, and the shadowy Mamantov following them all, the two follow a trail that leads from Moscow's seedy underbelly to the industrial city of Archangel, where Russia once built her fleets of submarines, to a remote camp on the edge of the Siberian nothingness, and finally to a shocking conclusion that bites like the wind blowing off the tundra. What Kelso sees as the coup of his career might turn out to be the catalyst for an actual coup in Russia. There is a legacy behind the diary, a legacy of evil and death, and Fluke Kelso is unwittingly about to unleash it on the world.","['Fiction', 'Thriller', 'Historical Fiction', 'Mystery', 'Russia', 'Historical', 'Crime', 'Espionage', 'Novels', 'Suspense']",isbn
553213776,Kilmeny of the Orchard (Bantam Classics),L.M. MONTGOMERY,1989,Bantam Classics,"A sweet and moving romance from the author of the beloved Anne of Green Gables series!Eric Marshall, recent college graduate, has the world at his feet. He’s handsome, popular, wealthy, and surprisingly, single. Living the bachelor lifestyle with his widowed father, he’s never given much thought to romance. When an old school friend asks Eric to substitute teach for him on Prince Edward Island while he recuperates from an illness, Eric thinks, why not? He’s got some time to kill before diving into the family business with his father, and the rustic island may be a good diversion for him.Eric falls into the easy routine of island life, and his status as eligible bachelor endears him to the locals. Eric is still not thinking of romance, but he’s about to find it in a most unexpected place…Kilmeny Gordon is sweet and smart and beautiful, perfect in every way but one: she can’t speak. She’s been sheltered all her life due to her disability and the scandal surrounding her birth. She wiles away her hours helping her aunt and uncle on the farm and playing her violin in her favorite secluded spot. When Eric stumbles into her hidden orchard, he brings a whole new world with him, and a friendship that both frightens her and thrills her. As the summer days grow longer and their friendship blossoms, sweet, silent Kilmeny, with her sunny enthusiasm and haunting music, manages to do what neither the co-eds of Queenslea College nor the village lasses of Lindsay have been able to do—capture Eric’s heart.But Kilmeny knows he’ll soon have to go back to his life on the mainland, a world of business meetings and parties and prejudicial people—a world in which she’ll hold him back and never fit in. None of that matters to Eric, but how can he get her to accept that she’s the only woman he’ll ever love, when she is convinced that the only way to love him is to let him go?Bonus Content: Introduction and IllustrationsLegacy Vintage Collection Enhanced eBooks have been professionally edited and professionally formatted for your favorite e-reader! Learn more at The Vintage Reader.","['Classics', 'Fiction', 'Romance', 'Young Adult', 'Historical Fiction', 'Canada', 'Historical', 'Childrens', 'Audiobook', 'Literature']",isbn
553280511,The Blue Castle,L.M. MONTGOMERY,1989,Starfire,"An unforgettable story of courage and romance. Will Valancy Stirling ever escape her strict family and find true love?Valancy Stirling is 29, unmarried, and has never been in love. Living with her overbearing mother and meddlesome aunt, she finds her only consolation in the ""forbidden"" books of John Foster and her daydreams of the Blue Castle--a place where all her dreams come true and she can be who she truly wants to be. After getting shocking news from the doctor, she rebels against her family and discovers a surprising new world, full of love and adventures far beyond her most secret dreams.","['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Young Adult', 'Historical', 'Canada', 'Historical Romance', 'Adult', 'Adult Fiction']",isbn
553264931,Emily's Quest,L.M. MONTGOMERY,1983,Laurel Leaf,"Emily knows she's going to be a great writer. She also knows that she and her childhood sweetheart, Teddy Kent, will conquer the world together. But when Teddy leaves home to pursue his goal to become an artist at the School of Design in Montreal, Emily's world collapses. With Teddy gone, Emily agrees to marry a man she doesn't love ... as she tries to banish all thoughts of Teddy. In her heart, Emily must search for what being a writer really means....","['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Romance', 'Childrens', 'Canada', 'Historical', '20th Century', 'Literature']",isbn
553262149,Emily Climbs,L.M. MONTGOMERY,1983,Starfire,"Emily Starr was born with the desire to write. As an orphan living on New Moon Farm, writing helped her face the difficult, lonely times. But now all her friends are going away to high school in nearby Shrewsbury, and her old-fashioned, tyrannical aunt Elizabeth will only let her go if she promises to stop writing! All the same, this is the first step in Emily's climb to success. Once in town, Emily's activities set the Shrewsbury gossips buzzing. But Emily and her friends are confident -- Ilse's a born actress, Teddy's set to be a great artist, and roguish Perry has the makings of a brilliant lawyer. When Emily has her poems published and writes for the town newspaper, success seems to be on its way -- and with it the first whispers of romance. Then Emily is offered a fabulous opportunity, and she must decide if she wants to change her life forever.","['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Childrens', 'Canada', 'Romance', 'Historical', '20th Century', 'Coming Of Age']",isbn
055323370X,Emily of New Moon,L.M. MONTGOMERY,1983,Laurel Leaf,"Emily Starr never knew what it was to be lonely--until her beloved father died. Now Emily's an orphan, and her mother's snobbish relatives are taking her to live with them at New Moon Farm. She's sure she won't be happy. Emily deals with stiff, stern Aunt Elizabeth and her malicious classmates by holding her head high and using her quick wit. Things begin to change when she makes friends, with Teddy, who does marvelous drawings; with Perry, who's sailed all over the world with his father yet has never been to school; and above all, with Ilse, a tomboy with a blazing temper. Amazingly, Emily finds New Moon beautiful and fascinating. With new friends and adventures, Emily might someday think of herself as Emily of New Moon.","['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Childrens', 'Canada', 'Historical', 'Middle Grade', 'Romance', 'Coming Of Age']",isbn
068486441X,Eating The Cheshire Cat: A Novel,Helen Ellis,2001,Scribner,"The debut novel by the author of American Housewife. Eating the Cheshire Cat lures us into a world of perfectly planned parties and steep social ladders, where traditional rites of passage take unpredictable and horrifying turns as three girls and their overbearing mothers collide.In Tuscaloosa, Alabama, beauty is as beauty does, with axes and knives and killer smiles. Sarina Summers and her mother will stop at nothing to have it all. Nicole Hicks harbors a fierce obsession with Sarina, which repeatedly undermines Mrs. Hicks's ambitious goals. Bitty Jack Carlson, a nice girl from the wrong side of the tracks, is caught in the crossfire but struggles to succeed outside the confines of this outrageous yet eerily familiar Southern community. It's survival of the fittest. Which girl will come out on top? Covering everything from summer camp to the University of Alabama's Homecoming game, this fast-paced and unforgettable novel will keep readers guessing until the bitter end.","['Fiction', 'Southern', 'Mystery', 'Adult Fiction', 'Humor', 'Young Adult', 'Literary Fiction', 'Comedy', 'Adult', 'Contemporary']",isbn
1565124006,Boulevard,Jim Grimsley,2003,Algonquin Books of Chapel Hill,"Newell never really belonged in Pastel, Alabama. Ready for a change, he buys a one-way ticket to New Orleans. The year is 1978 and the rambunctious city beckons with its famous promise of bright lights, excitement, and men everywhere. Newell makes his way, finding a job in a pornographic bookstore and renting a room in the French Quarter. His good nature, good looks, and a daring stunt in a popular bar make him a quick favorite of the town. Soon he has friends. Some are harmless, like Henry, a pudgy sidekick who's a frequent denizen of the porn shop's movie booths. Others prove more dangerous, like party-boy Mark, Newell's first beau, who has a penchant for recreational drugs. Finally, Newell encounters the volatile Jack, who shows Newell the blackest heart of the city.Boulevard, Jim Grimsley's fifth novel, reminds us that Grimsley is what Publishers Weekly calls ""an accomplished stylist and a complex moralist."" He takes one character's dream and reveals what can happen when dreams are fulfilled.","['Gay', 'Queer', 'LGBT', 'Gay Fiction', 'Fiction', 'American']",isbn
671527886,POSSESSION,Ann Rule,1997,Pocket,"When Danny and Joanne Lindstrom's camping trip in the Cascade mountains goes terribly awry, beautiful younge Joanne is left alone and stranded in the savage wilderness. Her last hope is to rely on another camper, a tall stranger who seems to know the forest and the dangers there all too well. Without him, she will surely die; with him, her future is as unpredictable as the lowering clouds that envelop the mountain. He asks only that she trust him...totally.","['True Crime', 'Fiction', 'Mystery', 'Crime', 'Thriller', 'Suspense', 'Adult Fiction', 'Mystery Thriller', 'Novels', 'Murder Mystery']",isbn
439050138,"The Journal of Scott Pendleton Collins: A World War II Soldier, Normandy, France, 1944 (My Name is America: A Dear America Book)",Walter Dean Myers,1999,Scholastic,"Each harrowing day of battle in France convinces seventeen-year-old Scott Pendleton Collins that he may not survive. In desperation, he records his thoughts, fears, and hopes in a journal he has carried since his first days as a soldier in Basic Training at Fort Dix.","['Historical Fiction', 'Young Adult', 'World War II', 'Historical', 'War', 'Childrens', 'Middle Grade', 'Fiction', 'Juvenile', 'Diary']",isbn
393038548,Recipes from the Dump,Abigail Stone,1995,W W Norton &amp; Co Inc,"In a totally original first novel that's as American as Whitney Otto's How to Make an American Quilt, as satisfying as Laura Esquivel's Like Water for Chocolate, Stone tells the story of a woman's hunt for the essential ingredients in a cluttered world, a mock cookbook for our culture.",['Fiction'],isbn
316910333,Gossip Girl #1 : A Novel by Cecily von Ziegesar (Gossip Girl),Cecily Von Ziegesar,2002,"Little, Brown","Welcome to New York City’s Upper East Side, where my friends and I live, go to school, play, and sleep—sometimes with each other.S is back from boarding school, and if we aren’t careful, she’s going to win over our teachers, wear that dress we couldn’t fit into, steal our boyfriends’ hearts, and basically ruin our lives in a major way. I’ll be watching closely . . .You know you love me,gossip girl","['Young Adult', 'Chick Lit', 'Fiction', 'Contemporary', 'Romance', 'Teen', 'Realistic Fiction', 'Drama', 'High School', 'Young Adult Contemporary']",isbn
553251473,Iacocca: An Autobiography,Lee Iacocca,1986,Bantam Books,"He's an American legend, a straight-shooting businessman who brought Chrysler back from the brink and in the process became a media celebrity, newsmaker, and a man many had urged to run for president.The son of Italian immigrants, Lee Iacocca rose spectacularly through the ranks of Ford Motor Company to become its president, only to be toppled eight years later in a power play that should have shattered him. But Lee Iacocca didn't get mad, he got even. He led a battle for Chrysler's survival that made his name a symbol of integrity, know-how, and guts for millions of Americans.In his classic hard-hitting style, he tells us how he changed the automobile industry in the 1960s by creating the phenomenal Mustang. He goes behind the scenes for a look at Henry Ford's reign of intimidation and manipulation. He recounts the miraculous rebirth of Chrysler from near bankruptcy to repayment of its $1.2 billion government loan so early that Washington didn't know how to cash the check.From the Trade Paperback edition.","['Biography', 'Business', 'Nonfiction', 'Autobiography', 'Management', 'Leadership', 'Memoir', 'History', 'Buisness', 'Biography Memoir']",isbn
039595777X,Love Poems,Anne Sexton,1999,Mariner Books,Twenty-five poems celebrating the sensual frontiers of Sexton's life.,"['Poetry', '20th Century', 'American', 'Love', 'Romance', 'Womens', 'Feminism', 'Mental Illness', 'Female Authors', 'Fiction']",isbn
517139618,Aspen Gold,Janet Dailey,1991,Random House Value Pub,"The author of Rivals and Heiress dazzles again with a contemporary story of a woman torn between love and fame. Talented actress Kit Masters returns home to settle her father's estate and realizes she must choose between her career and a man she has not seen for ten years--the man she still loves. Teaser chapter of Dailey's forthcoming hardcover, Tangled Vines. HC: Little, Brown.","['Romance', 'Fiction', 'Contemporary Romance', 'Adult', 'Contemporary', 'Adult Fiction']",isbn
385318790,Morrie: In His Own Words,Morrie Schwartz,2000,Dell,"Originally published under the title Letting Go, three years ago, this is Morrie Schwartz's enlightened and compassionate philosophy of living, written as he was battling the effects of ALS (Lou Gehrig's disease). Sadly, Morrie died before the book was published. A year later,though, a former student of Morrie's, Mitch Albom, wrote Tuesdays withMorrie, chronicling Morrie's impact on his life. This book is, as the title says, Morrie in his own words, his invaluable legacy to us all.","['Nonfiction', 'Biography', 'Memoir', 'Inspirational', 'Spirituality', 'Autobiography', 'Self Help', 'Biography Memoir', 'Philosophy', 'Death']",isbn
385722435,Ella Minnow Pea: A Novel in Letters,Mark Dunn,2002,Anchor Books/Doubleday,"Ella Minnow Pea is a girl living happily on the fictional island of Nollop off the coast of South Carolina. Nollop was named after Nevin Nollop, author of the immortal pangram,* ""The quick brown fox jumps over the lazy dog."" Now Ella finds herself acting to save her friends, family, and fellow citizens from the encroaching totalitarianism of the island's Council, which has banned the use of certain letters of the alphabet as they fall from a memorial statue of Nevin Nollop. As the letters progressively drop from the statue they also disappear from the novel. The result is both a hilarious and moving story of one girl's fight for freedom of expression, as well as a linguistic tour de force sure to delight word lovers everywhere.*pangram: a sentence or phrase that includes all the letters of the alphabet","['Fiction', 'Humor', 'Fantasy', 'Young Adult', 'Dystopia', 'Adult Fiction', 'Adult', 'Language', 'Contemporary', 'Book Club']",isbn
609807900,Sloppy Firsts : A Novel,Megan McCafferty,2001,Three Rivers Press,"“My parents suck ass. Banning me from the phone and restricting my computer privileges are the most tyrannical parental gestures I can think of. Don’t they realize that Hope’s the only one who keeps me sane? I don’t see how things could get any worse.”When her best friend, Hope Weaver, moves away from Pineville, New Jersey, hyperobservant sixteen-year-old Jessica Darling is devastated. A fish out of water at school and a stranger at home, Jessica feels more lost than ever now that the only person with whom she could really communicate has gone. How is she supposed to deal with the boy- and shopping-crazy girls at school, her dad’s obsession with her track meets, her mother salivating over big sister Bethany’s lavish wedding, and her nonexistent love life?A fresh, funny, utterly compelling fiction debut by first-time novelist Megan McCafferty, Sloppy Firsts is an insightful, true-to-life look at Jessica’s predicament as she embarks on another year of teenage torment--from the dark days of Hope’s departure through her months as a type-A personality turned insomniac to her completely mixed-up feelings about Marcus Flutie, the intelligent and mysterious “Dreg” who works his way into her heart. Like a John Hughes for the twenty-first century, Megan McCafferty taps into the inherent humor and drama of the teen experience. This poignant, hilarious novel is sure to appeal to readers who are still going through it, as well as those who are grateful that they don’t have to go back and grow up all over again.","['Young Adult', 'Chick Lit', 'Fiction', 'Contemporary', 'Romance', 'Realistic Fiction', 'Teen', 'Humor', 'High School', 'Coming Of Age']",isbn
671867407,Who Will Tell The People? : The Betrayal Of American Democracy,William Greider,1993,Simon &amp; Schuster,"Who Will Tell the People is a passionate, eye-opening challenge to American democracy. Here is a tough-minded exploration of why we're in trouble, starting with the basic issues of who gets heard, who gets ignored, and why. Greider shows us the realities of power in Washington today, uncovering the hidden relationships that link politicians with corporations and the rich, and that subvert the needs of ordinary citizens.  How do we put meaning back into public life? Greider shares the stories of some citizens who have managed to crack Washington's ""Grand Bazaar"" of influence peddling as he reveals the structures designed to thwart them. Without naiveté or cynicism, Greider shows us how the system can still be made to work for the people, and delineates the lines of battle in the struggle to save democracy. By showing us the reality of how the political decisions that shape our lives are made, William Greider explains how we can begin to take control once more.","['Politics', 'Nonfiction', 'History', 'Political Science', 'Government', 'Economics', 'Journalism', 'American History', 'The United States Of America']",isbn
067088698X,Before You Sleep,Linn Ullmann,1999,Viking Books,"Moving from present-day Oslo to Brooklyn in the 1930s, ""Before you Sleep"" tells the story of three generations of a Norwegian family dominated by strong-willed, eccentric, passionate women. It is a beautifully rendered, keenly detailed, and sexually honest novel about motherhood and marriage, love and infidelity.","['Fiction', 'Novels', 'Contemporary', 'Scandinavian Literature', 'Literature', 'Roman', 'Family', 'Literary Fiction', '20th Century', 'Sweden']",isbn
375701230,A Death in the Family,James Agee,1998,Vintage Books USA,"The classic American novel, re-published for the 100th anniversary of James Agee's birthPublished in 1957, two years after its author's death at the age of forty-five, A Death in the Family remains a near-perfect work of art, an autobiographical novel that contains one of the most evocative depictions of loss and grief ever written. As Jay Follet hurries back to his home in Knoxville, Tennessee, he is killed in a car accident--a tragedy that destroys not only a life but also the domestic happiness and contentment of a young family. A novel of great courage, lyric force, and powerful emotion, A Death in the Family is a masterpiece of American literature.","['Fiction', 'Classics', 'Literature', 'Novels', 'Literary Fiction', 'American', 'Historical Fiction', 'Family', 'Southern', '20th Century']",isbn
671027646,The Christmas Box Collection : The Christmas Box Timepiece The Letter,Richard Paul Evans,1998,Pocket,"Richard Paul Evans’ bestseller The Christmas Box has become a holiday classic, a tale so touching that it continues to “tug families’ heartstrings” (USA Today). His exquisite prequel, Timepiece, and The Letter complete the glorious trilogy of the Parkin family. Now all three magical stories are compiled in one extraordinary treasury that “reaches into that place where all broken heart will forever be made whole” (The Star, Chicago).THE CHRISTMAS BOXA Christmas story unlike any other, The Christmas Box is the poignant tale of a widow and the young family who moves in with her. Together, they discover the first gift of Christmas --- and what the holiday is really all about.TIMEPIECE Tracing the lives of a young couple as they discover love, loyalty, and the power of forgiveness, Timepiece is a tale of wisdom and of hope --- and a gentle reminder that the connections from one generation to the next are indelible.THE LETTER A mysterious letter is found at the grave of a couple's only child in this unforgettable conclusion to the collection. As they face love's greatest challenge, they find its truest meaning and learn the lessons that are echoed throughout.","['Christmas', 'Fiction', 'Historical Fiction', 'Romance', 'Christian Fiction', 'Holiday', 'Realistic Fiction', 'Inspirational', 'Contemporary', 'Christian']",isbn
679770151,Sleeping at the Starlite Motel: And Other Adventures on the Way Back Home,Bailey White,1996,Vintage Books USA,"Anyone who has read her bestseller Mama Makes Up Her Mind--or who has heard her on National Public Radio--knows that Bailey White is one of the keenest observers of Southern eccentricity since Mark Twain. Sleeping at the Starlite Motel revives White's reputation as a master storyteller, Southern division, as it catalogs the oddities of the Georgia town she knows so well.","['Humor', 'Southern', 'Fiction', 'Short Stories', 'Essays', 'Anthologies', 'Adult', 'Travel', 'Contemporary', 'Comedy']",isbn
553213873,Story of My Life (Bantam Classic),Helen Keller,1991,Bantam Books,"When she was 19 months old, Helen Keller (1880–1968) suffered a severe illness that left her blind and deaf. Not long after, she also became mute. Her tenacious struggle to overcome these handicaps-with the help of her inspired teacher, Anne Sullivan-is one of the great stories of human courage and dedication. In this classic autobiography, first published in 1903, Miss Keller recounts the first 22 years of her life, including the magical moment at the water pump when, recognizing the connection between the word ""water"" and the cold liquid flowing over her hand, she realized that objects had names. Subsequent experiences were equally noteworthy: her joy at eventually learning to speak, her friendships with Oliver Wendell Holmes, Edward Everett Hale and other notables, her education at Radcliffe (from which she graduated cum laude), and-underlying all-her extraordinary relationship with Miss Sullivan, who showed a remarkable genius for communicating with her eager and quick-to-learn pupil.","['Nonfiction', 'Biography', 'Classics', 'Memoir', 'History', 'Autobiography', 'Biography Memoir', 'Historical', 'Disability', 'Inspirational']",isbn
014017821X,The Bloody Chamber and Other Stories,Angela Carter,1987,Penguin Books,"In The Bloody Chamber - which includes the story that is the basis of Neil Jordan's 1984 movie The Company of Wolves - Carter spins subversively dark and sensual versions of familiar fairy tales and legends like ""Little Red Riding Hood,"" ""Bluebeard,"" ""Puss in Boots,"" and ""Beauty and the Beast,"" giving them exhilarating new life in a style steeped in the romantic trappings of the gothic tradition.","['Short Stories', 'Fantasy', 'Fiction', 'Horror', 'Fairy Tales', 'Gothic', 'Feminism', 'Classics', 'Retellings', 'Adult']",isbn
1558743790,A 3rd Serving of Chicken Soup for the Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications,"NEW YORK TIMES BESTSELLER!Bestselling authors Jack Canfield and Mark Victor Hansen present another joyful collection of stories for your reading pleasure. Within the pages of ""A 3rd Serving of Chicken Soup for the Soul"" you will find shining examples of the best qualities we all share as human beings: compassion, grace, forgiveness, hope, courage, dedication, generosity and faith.Stories may be the most powerful teaching tool available to us, especially when the lessons being taught are love, necessary losses, respect and values. In this volume of ""Chicken Soup for the Soul,"" the authors share more collected wisdom on love, parenting, teaching, learning, death, attitude and overcoming obstacles. This book will warm your heart, brighten your darkest day and put a smile on your face that will last a lifetime.","['Nonfiction', 'Inspirational', 'Self Help', 'Short Stories', 'Religion', 'Spirituality', 'Adult', 'Childrens', 'Essays', 'Poetry']",isbn
312187106,The Diary of Mattie Spenser,Sandra Dallas,1998,St. Martin's Griffin,"No one is more surprised than Mattie Spenser herself when Luke Spenser, considered the great catch of their small Iowa town, asks her to marry him. Less than a month later, they are off in a covered wagon to build a home on the Colorado frontier. Mattie's only company is a slightly mysterious husband and her private journal, where she records the joys and frustrations not just of frontier life, but also of a new marriage to a handsome but distant stranger. As she and Luke make life together on the harsh and beautiful plains, Mattie learns some bitter truths about her husband and the girl he left behind and finds love where she least expects it. Dramatic and suspenseful, this is an unforgettable story of hardship, friendship and survival.","['Historical Fiction', 'Fiction', 'Historical', 'Westerns', 'Romance', 'Adult Fiction', 'Historical Romance', 'Adult', 'Book Club', '19th Century']",isbn
553213156,Anne of Ingleside (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1984,Bantam Classics,"Anne is the mother of five, with never a dull moment in her lively home. And now, with a new baby on the way and insufferable Aunt Mary Maria visiting—and wearing out her welcome—Anne's life is full to bursting.Still, Mrs. Doctor can't think of any place she'd rather be than her own beloved Ingleside. Until the day she begins to worry that her adored Gilbert doesn't love her anymore. How could that be? She may be a little older, but she's still the same irrepressible, irreplaceable redhead—the wonderful Anne of Green Gables, all grown up. She's ready to make her cherished husband fall in love with her all over again!","['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Childrens', 'Historical', 'Canada', 'Romance', 'Middle Grade', 'Literature']",isbn
64473023,"Grecian Holiday: Or, How I Turned Down the Best Possible Thing Only to Have the Time of My Life",Kate Cann,2002,Avon,"Dear Mike, Arrived at the old villa 3 days ago. It's all blue shy, white walls and heat here -- you'll see. Jade's's already heading for trouble and I can't suss Sarah out. Hope you and your mates are having a blast on your trek, especially without me dragging you down. I bet deep down you're glad I bailed out. Ill see you before this postcard even finds you.Miss you!Kelly XOXWhen Kelly opts out of a summer of roughing it with her intimidating, intense boyfriend, Mike, she doesn't realize she's opted into a summer that will change everything, especially herself.","['Young Adult', 'Romance', 'Chick Lit', 'Fiction', 'Contemporary', 'Childrens', 'Contemporary Romance', 'Teen', 'Young Adult Contemporary', 'Greece']",isbn
142000345,"A Common Life: The Wedding Story (Beloved Mitford, No. 6)",Jan Karon,2002,Viking Books,"The sixth novel in the beloved Mitford series, by the bestselling author of At Home in Mitford  and  Somebody Safe with Somebody Good  Laughter and wedding bells ring as Jan Karon takes her millions of fans back in time to the most cherished event in Mitford! Mitford's Lord's Chapel seats barely two hundred souls, yet millions of Jan Karon's fans will be there for the most joyful event in years: the wedding of Father Tim Kavanagh and Cynthia Coppersmith. Here at last is A Common Life, and the long-awaited answers to these deeply probing questions: Will Father Tim fall apart when he takes his vows? Will Cynthia make it to the church on time? Who'll arrange the flowers and bake the wedding cake? And will Uncle Billy's prayers for a great joke be answered in time for the reception?All the beloved Mitford characters will be there: Dooley Barlowe, Miss Sadie and Louella, Emma Newland, the mayor; in short, everybody who's anybody in the little town with the big heart.A Common Life is the perfect gift for Mother's Day, Father's Day, anniversaries, and for a bride or groom to give to his or her beloved. In truth, it's perfect for anyone who believes in laughter, relies on hope, and celebrates love.  ","['Fiction', 'Christian Fiction', 'Christian', 'Adult Fiction', 'Romance', 'Contemporary', 'Inspirational', 'Novels', 'Adult', 'Faith']",isbn
1577488288,Colorado Wings: Four Inspirational Love Stories With a Dash of Intrigue (Inspirational Romance Collections),Tracie Peterson,2000,Barbour Bargain Books,"Tracie Peterson. The Denver metro is filled with intrigue and romance as portrayed in three complete novels plus a bonus novella. Titles include A Wing and a Prayer, Wings Like Eagles, Wings of the Dawn, and A Gift of Wings.","['Christian Fiction', 'Fiction', 'Romance', 'Christian', 'Christian Romance']",isbn
1565120167,Music of the Swamp (Front Porch Paperbacks),Lewis Nordan,1992,Algonquin Books of Chapel Hill,"Nordan's fiction invents its own world, a world populated by madly heroic misfits. In MUSIC OF THE SWAMP, he focuses his magic and imagination on a single theme--a boy's utterly helpless love for his utterly hopeless father.","['Fiction', 'Short Stories', 'Southern', 'Southern Gothic', 'Magical Realism', 'Novels', 'Literature', 'American']",isbn
